salary,player,,,,
19863636,Aaron Gordon,,,,
2329200,Aaron Holiday,,,,
1378242,Aaron Jackson,,,,
1618520,Abdel Nader,,,,
1000000,Admiral Schofield,,,,
28000000,Al Horford,,,,
1620564,Alec Burks,,,,
898310,Alen Smailagic,,,,
5455236,Alex Abrines,,,,
2750000,Alex Caruso,,,,
4160000,Alex Len,,,,
5285394,Alexis Ajinca,,,,
9258000,Al-Farouq Aminu,,,,
1500000,Alfonzo McKinnie,,,,
1416852,Alize Johnson,,,,
18500000,Allen Crabbe,,,,
3551000,Allonzo Trier,,,,
1529007,Amile Jefferson,,,,32
27093019,Andre Drummond,,,,
17185185,Andre Iguodala,,,,
10740740,Andre Roberson,,,,
27504630,Andrew Wiggins,,,,
2149560,Anfernee Simons,,,,
2281800,Ante Zizic,,,,
27093018,Anthony Davis,,,,
183115,Anthony Tolliver,,,,
1588231,Antonio Blakeney,,,,
482144,Anzejs Pasecniks,,,,
5453280,Aron Baynes,,,,
2147317,Austin Rivers,,,,
4767000,Avery Bradley,,,,
3454080,Bam Adebayo,,,,
2028594,Ben McLemore,,,,
1349383,Ben Moore,,,,
8113930,Ben Simmons,,,,
17000000,Bismack Biyombo,,,,
34449964,Blake Griffin,,,,
3500000,Boban Marjanovic,,,,
15000000,Bobby Portis,,,,
8529386,Bogdan Bogdanovic,,,,
17000000,Bojan Bogdanovic,,,,
1445697,Brad Wanamaker,,,,
27093019,Bradley Beal,,,,
2478840,Brandon Clarke,,,,
522738,Brandon Goodwin,,,,
7265485,Brandon Ingram,,,,
2222803,Brandon Jennings,,,,
15643750,Brandon Knight,,,,
1378242,Brandon Paul,,,,
12093023,Brook Lopez,,,,
1416852,Bruce Brown,,,,
1845301,Bruno Caboclo,,,,
1400000,Bruno Fernando,,,,
2875000,Bryn Forbes,,,,
4861208,Buddy Hield,,,,
8333333,C.J. Miles,,,,
898310,Caleb Martin,,,,
2033160,Caleb Swanigan,,,,
4245720,Cam Reddish,,,,
4033440,Cameron Johnson,,,,
1737145,Cameron Payne,,,,
2625718,Caris LeVert,,,,
1364204,Carmelo Anthony,,,,
1228026,Carsen Edwards,,,,
2907143,Cedi Osman,,,,
2332320,Chandler Hutchison,,,,
25102511,Chandler Parsons,,,,
1678854,Cheick Diallo,,,,
c,Chimezie Metu,,,,
1544951,Chinanu Onuaku,,,,
1588231,Chris Boucher,,,,
563347,Chris Clemons,,,,
38506482,Chris Paul,,,,
466918,Chris Silva,,,,
1645357,Christian Wood,,,,
27556959,CJ McCollum,,,,
14896552,Clint Capela,,,,
5307120,Coby White,,,,
1173310,Cody Martin,,,,
14471910,Cody Zeller,,,,
4764960,Collin Sexton,,,,
12000000,Cory Joseph,,,,
12759670,Courtney Lee,,,,
8156500,Cristiano Felicio,,,,
7250000,D.J. Augustin,,,,
2961120,D.J. Wilson,,,,
1416852,Dairis Bertans,,,,
1378242,Dakari Johnson,,,,
2305057,Damian Jones,,,,
29802321,Damian Lillard,,,,
842327,Damion Lee,,,,
1618520,Damyean Dotson,,,,
27285000,D'Angelo Russell,,,,
898310,Daniel Gafford,,,,
5000000,Daniel Theis,,,,
22615559,Danilo Gallinari,,,,
14634146,Danny Green,,,,
9600000,Dante Exum,,,,
3540000,Danuel House Jr.,,,,
3481986,Dario Saric,,,,
2284800,Darius Bazley,,,,
6400920,Darius Garland,,,,
7000000,Darius Miller,,,,
7464912,Darrell Arthur,,,,
10000000,Darren Collison,,,,
903111,David Nwaba,,,,
1378242,David Stockton,,,,
7000000,Davis Bertans,,,,
6392760,De'Aaron Fox,,,,
9562920,Deandre Ayton,,,,
2603982,DeAndre' Bembry,,,,
7068360,De'Andre Hunter,,,,
9881598,DeAndre Jordan,,,,
1795015,DeAndre Liggins,,,,
1416852,De'Anthony Melton,,,,
2321735,Dejounte Murray,,,,
9473684,Delon Wright,,,,
27739975,DeMar DeRozan,,,,
3500000,DeMarcus Cousins,,,,
512721,DeMarre Carroll,,,,
15500000,Dennis Schroder,,,,
4463640,Dennis Smith Jr.,,,,
3377569,Denzel Valentine,,,,
1416852,Deonte Burton,,,,
17650000,Derrick Favors,,,,
1645357,Derrick Jones Jr.,,,,
7317073,Derrick Rose,,,,
1445697,Derrick Walton Jr.,,,,
1948080,Derrick White,,,,
27285000,Devin Booker,,,,
1416852,Devonte' Graham,,,,
898310,Dewan Hernandez,,,,
13333333,Dewayne Dedmon,,,,
1618520,Dillon Brooks,,,,
375385,Dion Waiters,,,,
5000000,Dirk Nowitzki,,,,
3529555,Domantas Sabonis,,,,
3635760,Donovan Mitchell,,,,
2905800,Donte DiVincenzo,,,,
4000000,Dorian Finney-Smith,,,,
7333333,Doug McDermott,,,,
1678854,Dragan Bender,,,,
18539130,Draymond Green,,,,
1416852,Duncan Robinson,,,,
1618520,Dwayne Bacon,,,,
1600520,Dwight Buycks,,,,
1620564,Dwight Howard,,,,
10259375,Dwight Powell,,,,
1512601,Dwyane Wade,,,,
2035800,Dylan Windler,,,,
1911600,Dzanan Musa,,,,
4767000,Ed Davis,,,,
2000000,Edmond Sumner,,,,
8000000,Elfrid Payton,,,,
1416852,Elie Okobo,,,,
2445085,Emeka Okafor,,,,
1620564,Emmanuel Mudiay,,,,
4767000,Enes Kanter,,,,
15625000,Eric Bledsoe,,,,
14057730,Eric Gordon,,,,
898310,Eric Paschall,,,,
7000000,Ersan Ilyasova,,,,
8664928,E'Twaun Moore,,,,
17150000,Evan Fournier,,,,
18606556,Evan Turner,,,,
1618520,Frank Jackson,,,,
4767000,Frank Kaminsky,,,,
4855800,Frank Ntilikina,,,,
9346153,Fred VanVleet,,,,
1620564,Furkan Korkmaz,,,,
4767000,Garrett Temple,,,,
555409,Gary Clark,,,,
17839286,Gary Harris,,,,
1052909,Gary Payton II,,,,
1416852,Gary Trent Jr.,,,,
9133907,George Hill,,,,
1645357,Georges Niang,,,,
1544951,Georgios Papagiannis,,,,
1620564,Gerald Green,,,,
25842697,Giannis Antetokounmpo,,,,
1620564,Glenn Robinson III,,,,
2816760,Goga Bitadze,,,,
19217900,Goran Dragic,,,,
32700690,Gordon Hayward,,,,
16229213,Gorgui Dieng,,,,
2379840,Grant Williams,,,,
2429400,Grayson Allen,,,,
1416852,Hamidou Diallo,,,,
24147727,Harrison Barnes,,,,
2578800,Harry Giles III,,,,
27093017,Hassan Whiteside,,,,
15450051,Ian Mahinmi,,,,
898310,Ignas Brazdeikis,,,,
1378242,Ike Anigbogu,,,,
1419138,Iman Shumpert,,,,
1416842,Isaac Bonga,,,,
838464,Isaiah Briscoe,,,,
1512601,Isaiah Canaan,,,,
1416852,Isaiah Hartenstein,,,,
1500000,Isaiah Roby,,,,
1620564,Isaiah Taylor,,,,
1620564,Isaiah Thomas,,,,
1544951,Isaiah Whitehead,,,,
6000000,Ish Smith,,,,
6481482,Ivica Zubac,,,,
1620564,J.J. Barea,,,,
8730240,Ja Morant,,,,
1349464,Jabari Bird,,,,
6500000,Jabari Parker,,,,
1925880,Jacob Evans,,,,
7815533,Jae Crowder,,,,
1702486,Jahlil Okafor,,,,
1620564,JaKarr Sampson,,,,
3581986,Jake Layman,,,,
3754886,Jakob Poeltl,,,,
1416852,Jalen Brunson,,,,
898310,Jalen Lecque,,,,
898310,Jalen McDaniels,,,,
4444746,Jamal Murray,,,,
1882867,James Ennis III,,,,
38199000,James Harden,,,,
15349400,James Johnson,,,,
1349383,James Nunnally,,,,
4767000,JaMychal Green,,,,
1620564,Jared Dudley,,,,
1620564,Jarell Martin,,,,
6927480,Jaren Jackson Jr.,,,,
1416852,Jarred Vanderbilt,,,,
2376840,Jarrett Allen,,,,
5813640,Jarrett Culver,,,,
5450000,Jason Smith,,,,
4000000,JaVale McGee,,,,
898310,Javonte Green,,,,
4862040,Jaxson Hayes,,,,
6534829,Jaylen Brown,,,,
1378242,Jaylen Morris,,,,
1400000,Jaylen Nowell,,,,
7830000,Jayson Tatum,,,,
439475,Jeff Green,,,,
19000000,Jeff Teague,,,,
1416852,Jemerrio Jones,,,,
9346153,Jerami Grant,,,,
10500000,Jeremy Lamb,,,,
3567720,Jerome Robinson,,,,
1416852,Jevon Carter,,,,
208509,Jimmer Fredette,,,,
32742000,Jimmy Butler,,,,
13486300,JJ Redick,,,,
7666667,Joe Harris,,,,
11954546,Joe Ingles,,,,
1620564,Joe Johnson,,,,
27504630,Joel Embiid,,,,
2686560,John Collins,,,,
9732396,John Henson,,,,
38199000,John Wall,,,,
1698450,Jonah Bolden,,,,
16000000,Jonas Valanciunas,,,,
5806440,Jonathan Isaac,,,,
5700000,Jonathon Simmons,,,,
197933,Jontay Porter,,,,
1620564,Jordan Bell,,,,
13437500,Jordan Clarkson,,,,
1645357,Jordan McRae,,,,
1964760,Jordan Poole,,,,
1655160,Josh Hart,,,,
7059480,Josh Jackson,,,,
2530680,Josh Okogie,,,,
10116576,Josh Richardson,,,,
15680000,JR Smith,,,,
26231111,Jrue Holiday,,,,
3321030,Juan Hernangomez,,,,
350189,Juan Toscano-Anderson,,,,
18000000,Julius Randle,,,,
1656092,Julyan Stone,,,,
4767000,Justin Holiday,,,,
3280920,Justin Jackson,,,,
898310,Justin James,,,,
1620564,Justin Patton,,,,
898310,Justin Robinson,,,,
13000000,Justise Winslow,,,,
13125000,Jusuf Nurkic,,,,
746054,Juwan Morgan,,,,
27285000,Karl-Anthony Towns,,,,
32742000,Kawhi Leonard,,,,
1416852,Keita Bates-Diop,,,,
1950600,Keldon Johnson,,,,
12667885,Kelly Olynyk,,,,
15625000,Kelly Oubre Jr.,,,,
32742000,Kemba Walker,,,,
1416852,Kendrick Nunn,,,,
2445085,Kendrick Perkins,,,,
1416852,Kenrich Williams,,,,
19269662,Kent Bazemore,,,,
8089282,Kentavious Caldwell-Pope,,,,
38199000,Kevin Durant,,,,
2636280,Kevin Huerter,,,,
4380120,Kevin Knox II,,,,
28942830,Kevin Love,,,,
1290960,Kevin Porter Jr.,,,,
4464226,Kevon Looney,,,,
3000000,Khem Birch,,,,
30603448,Khris Middleton,,,,
1416852,Khyri Thomas,,,,
32742000,Klay Thompson,,,,
5348007,Kris Dunn,,,,
27285000,Kristaps Porzingis,,,,
350189,Ky Bowman,,,,
9073050,Kyle Anderson,,,,
1378242,Kyle Collinsworth,,,,
1620564,Kyle Korver,,,,
1974600,Kyle Kuzma,,,,
34996296,Kyle Lowry,,,,
1620564,Kyle O'Quinn,,,,
4996000,Kyle Singler,,,,
31742000,Kyrie Irving,,,,
898310,KZ Okpala,,,,
26000000,LaMarcus Aldridge,,,,
7119650,Lance Thomas,,,,
1995120,Landry Shamet,,,,
7333333,Langston Galloway,,,,
12727273,Larry Nance Jr.,,,,
5300400,Lauri Markkanen,,,,
37436858,LeBron James,,,,
2689920,Lonnie Walker IV,,,,
8719320,Lonzo Ball,,,,
1512601,Lorenzo Brown,,,,
8000000,Lou Williams,,,,
4320500,Luc Mbah a Moute,,,,
155647,Luguentz Dort,,,,
7683360,Luka Doncic,,,,
2689920,Luka Samanic,,,,
14651700,Luke Babbitt,,,,
3827160,Luke Kennard,,,,
2250000,Luke Kornet,,,,
1569360,Malachi Richardson,,,,
20000000,Malcolm Brogdon,,,,
1588231,Malcolm Miller,,,,
2731714,Malik Beasley,,,,
4028400,Malik Monk,,,,
2500000,Manu Ginobili,,,,
25595700,Marc Gasol,,,,
13565218,Marcin Gortat,,,,
5846154,Marco Belinelli,,,,
15000000,Marcus Morris Sr.,,,,
12553571,Marcus Smart,,,,
1737145,Mario Hezonja,,,,
9745200,Markelle Fultz,,,,
1750000,Markieff Morris,,,,
2625000,Marko Guduric,,,,
654469,Marquese Chriss,,,,
1656092,MarShon Brooks,,,,
8556120,Marvin Bagley III,,,,
604278,Marvin Williams,,,,
14041096,Mason Plumlee,,,,
2582160,Matisse Thybulle,,,,
898310,Matt Thomas,,,,
9607500,Matthew Dellavedova,,,,
11011234,Maurice Harkless,,,,
898310,Max Strus,,,,
8000000,Maxi Kleber,,,,
1416852,Melvin Frazier Jr.,,,,
11286516,Meyers Leonard,,,,
1977000,Mfiondu Kabengele,,,,
3500000,Michael Beasley,,,,
1620564,Michael Carter-Williams,,,,
595122,Michael Kidd-Gilchrist,,,,
3389400,Michael Porter Jr.,,,,
4161000,Mikal Bridges,,,,
32511624,Mike Conley,,,,
2028594,Mike Muscala,,,,
4767000,Mike Scott,,,,
3755400,Miles Bridges,,,,
12500000,Miles Plumlee,,,,
6300000,Milos Teodosic,,,,
1599712,Mitchell Robinson,,,,
898310,Miye Oni,,,,
5697600,Mo Bamba,,,,
1588231,Monte Morris,,,,
6000000,Montrezl Harrell,,,,
2063520,Moritz Wagner,,,,
18000000,Myles Turner,,,,
2105520,Nassir Little,,,,
898310,Naz Reid,,,,
6825000,Nemanja Bjelica,,,,
2564753,Nene Hilario,,,,
1620564,Nerlens Noel,,,,
1042584,Nick Young,,,,
2964840,Nickeil Alexander-Walker,,,,
25565217,Nicolas Batum,,,,
898310,Nicolas Claxton,,,,
4102564,Nicolo Melli,,,,
1500000,Nigel Williams-Goss,,,,
27504630,Nikola Jokic,,,,
12500000,Nikola Mirotic,,,,
28000000,Nikola Vucevic,,,,
2000000,Noah Vonleh,,,,
10116576,Norman Powell,,,,
350189,Norvel Pelle,,,,
2281800,OG Anunoby,,,,
1187862,Okaro White,,,,
1897800,Omari Spellman,,,,
11286516,Omer Asik,,,,
1512601,Omri Casspi,,,,
27250575,Otto Porter Jr.,,,,
8349039,P.J. Tucker,,,,
2351839,Pascal Siakam,,,,
1723050,Pat Connaughton,,,,
12345680,Patrick Beverley,,,,
4000000,Patrick McCaw,,,,
1620564,Patrick Patterson,,,,
12428571,Patty Mills,,,,
30560700,Paul George,,,,
30350000,Paul Millsap,,,,
1544951,Paul Zipser,,,,
3831840,PJ Washington,,,,
3000000,Quinn Cook,,,,
2564753,Rajon Rondo,,,,
1620564,Raul Neto,,,,
578573,Rayjon Tucker,,,,
4000000,Reggie Bullock,,,,
512721,Reggie Jackson,,,,
4767000,Richaun Holmes,,,,
16200000,Ricky Rubio,,,,
7839960,RJ Barrett,,,,
11301219,Robert Covington,,,,
1937520,Robert Williams III,,,,
4767000,Robin Lopez,,,,
1699236,Rodions Kurucs,,,,
5718000,Rodney Hood,,,,
4807693,Rodney McGruder,,,,
1378242,Rodney Purvis,,,,
3458400,Romeo Langford,,,,
948580,Ron Baker,,,,
2500000,Rondae Hollis-Jefferson,,,,
1618520,Royce O'Neale,,,,
14500000,Rudy Gay,,,,
23241573,Rudy Gobert,,,,
4469160,Rui Hachimura,,,,
38506482,Russell Westbrook,,,,
1620564,Ryan Anderson,,,,
3000000,Ryan Arcidiacono,,,,
1416852,Ryan Broekhoff,,,,
2054856,Sean Kilpatrick,,,,
3285120,Sekou Doumbouya,,,,
1618520,Semi Ojeleye,,,,
23271604,Serge Ibaka,,,,
7461380,Seth Curry,,,,
1845301,Shabazz Napier,,,,
3952920,Shai Gilgeous-Alexander,,,,
1455697,Shake Milton,,,,
1620564,Shaquille Harrison,,,,
2338847,Skal Labissiere,,,,
12758781,Solomon Hill,,,,
10605600,Spencer Dinwiddie,,,,
3623000,Stanley Johnson,,,,
898310,Stanton Kidd,,,,
40231758,Stephen Curry,,,,
1618520,Sterling Brown,,,,
25842697,Steven Adams,,,,
1416852,Sviatoslav Mykhailiuk,,,,
2813280,T.J. Leaf,,,,
3500000,T.J. McConnell,,,,
10810000,T.J. Warren,,,,
9000000,Taj Gibson,,,,
898310,Talen Horton-Tucker,,,,
1416842,Tarik Phillip,,,,
3481986,Taurean Prince,,,,
1000000,Terance Mann,,,,
898310,Terence Davis,,,,
2475840,Terrance Ferguson,,,,
12500000,Terrence Ross,,,,
19894737,Terry Rozier,,,,
1620564,Thabo Sefolosha,,,,
12900000,Thaddeus Young,,,,
1445697,Thanasis Antetokounmpo,,,,
1445697,Theo Pinson,,,,
8000000,Thomas Bryant,,,,
3569643,Thon Maker,,,,
1620564,Tim Frazier,,,,
20025127,Tim Hardaway Jr.,,,,
16720000,Timofey Mozgov,,,,
654469,Timothe Luwawu-Cabarrot,,,,
32742000,Tobias Harris,,,,
10000000,Tomas Satoransky,,,,
1962360,Tony Bradley,,,,
11392857,Tony Snell,,,,
2000000,Torrey Craig,,,,
6273000,Trae Young,,,,
1645357,Treveon Graham,,,,
12195122,Trevor Ariza,,,,
1620564,Trey Burke,,,,
5500000,Trey Lyles,,,,
18539130,Tristan Thompson,,,,
3219480,Troy Brown Jr.,,,,
384541,Troy Daniels,,,,
2193480,Ty Jerome,,,,
3640200,Tyler Herro,,,,
183115,Tyler Johnson,,,,
1620564,Tyler Lydon,,,,
245686,Tyler Zeller,,,,
12400000,Tyreke Evans,,,,
1588231,Tyrone Wallace,,,,
1620564,Tyson Chandler,,,,
9258000,Tyus Jones,,,,
1620564,Udonis Haslem,,,,
21000000,Victor Oladipo,,,,
1620564,Vince Carter,,,,
2505793,Vincent Poirier,,,,
898310,Vlatko Cancar,,,,
1544951,Wade Baldwin IV,,,,
8000000,Wayne Ellington,,,,
5201400,Wendell Carter Jr.,,,,
1445697,Wenyen Gabriel,,,,
1618420,Wes Iwundu,,,,
6134520,Wesley Johnson,,,,
2564753,Wesley Matthews,,,,
12776786,Will Barton,,,,
2177483,Willie Cauley-Stein,,,,
1676735,Willy Hernangomez,,,,
1620564,Wilson Chandler,,,,
1416852,Yante Maten,,,,
3150000,Yogi Ferrell,,,,
4240200,Zach Collins,,,,
19500000,Zach LaVine,,,,
11692308,Zach Randolph,,,,
3058800,Zhaire Smith,,,,
1378242,Zhou Qi,,,,
9757440,Zion Williamson,,,,
